, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,324,287,539,380,566,518,414,368,529,451,403,531,585,388,490,774,487,588,980,556,687,704,1195,728,690,839,812,660,1305,681,974,866,947,881,1077,904,963,1068,967,1021,970,
,200,624,820,774,681,770,1080,1025,851,800,579,635,770,586,644,707,941,841,884,772,978,831,995,1100,1209,1102,825,983,954,1126,1103,779,867,899,897,1067,1033,934,923,1009,1139,1278,
,300,757,730,644,881,843,975,908,803,837,838,970,912,908,1094,1446,906,1412,1190,959,874,940,890,957,982,1115,1204,1180,1009,1065,1180,1192,1057,1228,1221,1123,1318,1225,1097,1152,1160,1145,
,400,1079,1227,1367,1441,1049,1420,1251,1044,1151,1277,1249,1209,1037,1373,1833,4061,1442,1501,1479,1529,1871,1201,1303,1466,1245,2746,2096,1239,1241,2324,2568,2975,175678,4201,5663,5696,11573,3276,4174,6672,3014,
Verts,500,12519,2679,4786,3980,1850,4160,8625,8662,1964,6772,2771,7640,12454,2343,5508,8812,2436,5726,1945,5626,8797,3925,2184,2413,14366,8939,2618,6049,1623,7863,4080,4305,7869,2338,2592,3116,13979,2933,4112,7790,1230,
,600,2103,4854,11128,2915,4287,1619,5492,22116,1466,1331,9672,2319,43170,19767,22819,1297,27719,4730,2997,1382,20040,2772,13807,2618,13165,3595,3455,32191,3474,2851,1315,16142,1434,5490,7796,20857,3999,2810,25043,3366,5489,
,700,6165,4412,4676,13740,18287,23229,4160,1585,3471,23242,13304,4742,20381,3542,3730,7640,8704,10718,29559,16873,3711,10872,8164,9645,7415,12230,26688,3194,4240,8106,8184,15667,10865,7964,9398,6457,16868,3516,5322,8317,25605,
,800,5587,17803,1381,7602,16902,14514,18179,15629,2680,6038,16969,12747,8589,15859,8603,7811,18330,12351,8133,15759,6905,18594,8446,11441,27468,5513,7019,12024,8643,24616,4497,9056,10055,14466,7257,23857,6175,8917,7345,18182,6331,
,900,18858,11275,15808,11736,14914,24612,13880,3670,12378,10025,15577,22717,17894,7470,8310,10641,13815,28248,6831,9032,24542,4175,11800,14734,24152,6035,9530,14131,8817,24336,13279,6069,9377,31248,3779,10691,9695,17603,13692,8373,12765,
,1000,21606,10052,19320,13651,16524,7861,15807,19444,8306,15896,16621,11935,17406,17505,14885,9071,15303,16289,15312,15135,17203,7608,16769,19494,10494,14217,18753,16170,11260,14217,23158,7452,17640,11984,11457,13464,15953,21770,17182,6100,10708,






Edges Per Vert
Algorithm:,uniform
Verts:,600
