, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,16572,17392,15825,17756,16789,15792,15796,15377,16384,17313,17445,16928,17260,18449,24616,24425,19076,17666,17484,15715,14898,15366,15010,14350,14998,14339,15875,16851,23720,20574,16731,17133,19710,19010,21461,17908,25327,16346,26348,14533,12594,
,200,24378,25102,29103,30634,31223,49808,65876,71308,38461,45194,27449,25753,26353,23338,24999,28304,26653,27480,26994,38994,36281,40864,29203,29038,29748,25722,23470,24557,22935,23838,25070,26315,24292,25339,26931,29343,26297,31431,31974,33627,30716,
,300,66115,68546,40505,36325,43206,43379,45752,43892,46328,50089,48400,46220,48087,48306,47129,46002,47053,45330,46078,48101,54299,45779,47002,47488,45099,47794,49868,59922,51591,41405,48696,46156,49061,46767,46591,46521,47050,51748,57082,58546,43234,
,400,47797,59544,61396,60594,60756,61024,61586,60888,58679,59456,60384,60244,61665,61247,60248,63717,60252,61129,60692,59010,63893,55488,51177,52276,49907,50816,49425,48734,51652,51882,58875,83746,55616,51173,42426,53914,54645,56881,54515,79358,110455,
Verts,500,65488,62575,61136,54660,66043,66157,49241,52000,53832,63063,60282,60353,61580,63518,62944,67897,64120,63461,61857,61503,63114,62277,64747,61844,67792,63780,61180,62000,65257,73749,69207,60842,60696,61525,64908,62827,66196,91503,88397,68022,76978,
,600,90188,89019,94599,93102,92437,93758,90361,77490,75149,78080,74272,75110,79983,77153,78123,78838,76651,76145,75271,86867,108844,88283,84413,91659,90745,104363,97847,75728,90679,92802,98424,91872,93702,91151,100637,93848,94553,91224,89052,89209,92542,
,700,106323,106067,105405,105517,113375,129884,88061,100254,107287,114671,120343,82816,94349,107082,108572,102388,108985,107063,106701,105144,101884,108839,102758,106487,109027,105060,100938,104794,124923,111208,105967,100893,106371,107085,103263,102701,101432,104242,108508,109662,105884,
,800,120907,124435,116915,123964,119760,121395,119327,124711,120654,131085,123749,118592,117173,119873,118383,123980,125552,122134,118376,122188,120376,120894,116511,118722,121157,124554,118886,124576,130610,145451,184293,107195,116334,111961,96478,107412,111143,127416,119432,120280,122590,
,900,137916,137539,134190,133562,133108,139736,138019,145633,152869,129462,137287,134256,133794,129843,135111,135025,132164,128488,133712,133244,136038,133560,137780,132881,133595,135225,156501,129776,133543,143082,131843,133992,132620,134501,131368,132419,137027,136422,135546,137129,134789,
,1000,147376,148621,151367,156941,145800,150444,170604,133469,147864,160900,151713,148195,148070,156420,150712,151090,152992,153713,150620,157611,153320,153241,162231,148865,145998,150527,149210,151697,156072,153971,148936,147650,154340,152008,149315,157998,147339,149140,151720,178528,123538,
