, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,365,287,318,326,349,317,317,326,326,317,331,327,318,326,326,335,336,388,328,318,326,327,335,326,326,317,539,391,328,327,317,328,477,333,321,350,395,331,487,637,578,
,200,1775,1350,1318,1357,1553,1747,1730,1412,1331,1343,1406,1326,1313,1328,1307,1388,1469,1685,1799,1752,1749,1496,1410,1421,1349,1353,1882,2442,2465,1346,1322,1351,1322,1290,1298,1293,1513,1352,1329,1321,1331,
,300,3133,3091,3265,3602,4059,3465,3456,3784,3356,3405,3289,3791,3566,3719,3554,3571,3291,3181,2964,2939,3089,3102,3024,3190,2942,2980,2982,2916,2977,2985,3133,3087,2932,3004,3237,3054,3001,2938,2986,3086,3248,
,400,5648,5534,5929,5572,5621,6001,5835,6002,6406,5439,6617,6852,10385,6337,6701,5815,6002,9956,7468,9438,11189,10718,9456,7851,7092,9978,6628,6489,8289,9350,6395,6276,5675,5580,10077,9909,9904,8877,5924,6483,6414,
Verts,500,13479,11687,14024,10677,9102,9687,9178,9005,8927,13091,9714,8977,15801,15698,13468,9588,9258,9062,9269,9597,8948,8877,12895,8993,9607,8920,8779,8741,8563,8727,8843,8735,8608,9279,8804,9299,8973,9717,9759,9088,9981,
,600,13104,13168,13757,13641,12733,12552,12533,12725,12573,12322,12622,12519,12391,12280,12437,13653,13269,12823,12672,12397,14683,12885,12452,12440,12344,12325,12035,12128,12761,12283,13024,12215,13276,12927,12473,13105,13740,12744,12786,12628,12615,
,700,17225,16904,22666,22190,20112,25796,17964,17721,17222,18457,17951,17529,21737,21953,17400,18506,19192,17717,18694,19061,17652,17001,16914,16979,19130,17248,16794,17360,17239,17193,17645,17210,17408,17966,17249,16908,17263,21328,18311,16712,16883,
,800,24100,27937,22714,24598,22031,22113,22610,21944,21664,23041,22272,23759,23431,22452,22128,21803,21886,21970,23270,24475,23829,22250,24992,22493,27826,22302,22327,22580,22610,22360,23132,26076,23076,22672,22566,22568,21968,22348,23303,22269,24366,
,900,30320,27816,28277,27811,27591,27813,29238,29410,28271,28516,27438,27993,30022,28889,28799,29848,30657,28178,27574,27983,29672,30000,28366,28712,28194,27950,27833,31617,31907,29299,32465,28032,28233,27715,28372,28143,28577,28691,28814,27982,27168,
,1000,34017,34141,34888,37054,37540,38005,35428,34404,34784,34839,35295,33934,34786,35549,38783,35151,34783,36130,34868,34094,34734,36409,39817,34586,34872,34431,35650,34710,36076,34379,34836,33672,38142,33948,34567,34875,34983,34497,34690,35982,35221,






Edges Per Vert
Algorithm:,complete
Verts:,600
Edges:,N/A
0,599
1,599
2,599
3,599
4,599
5,599
6,599
7,599
8,599
9,599
10,599
11,599
12,599
13,599
14,599
15,599
16,599
17,599
18,599
19,599
20,599
21,599
22,599
23,599
24,599
25,599
26,599
27,599
28,599
29,599
30,599
31,599
32,599
33,599
34,599
35,599
36,599
37,599
38,599
39,599
40,599
41,599
42,599
43,599
44,599
45,599
46,599
47,599
48,599
49,599
50,599
51,599
52,599
53,599
54,599
55,599
56,599
57,599
58,599
59,599
60,599
61,599
62,599
63,599
64,599
65,599
66,599
67,599
68,599
69,599
70,599
71,599
72,599
73,599
74,599
75,599
76,599
77,599
78,599
79,599
80,599
81,599
82,599
83,599
84,599
85,599
86,599
87,599
88,599
89,599
90,599
91,599
92,599
93,599
94,599
95,599
96,599
97,599
98,599
99,599
100,599
101,599
102,599
103,599
104,599
105,599
106,599
107,599
108,599
109,599
110,599
111,599
112,599
113,599
114,599
115,599
116,599
117,599
118,599
119,599
120,599
121,599
122,599
123,599
124,599
125,599
126,599
127,599
128,599
129,599
130,599
131,599
132,599
133,599
134,599
135,599
136,599
137,599
138,599
139,599
140,599
141,599
142,599
143,599
144,599
145,599
146,599
147,599
148,599
149,599
150,599
151,599
152,599
153,599
154,599
155,599
156,599
157,599
158,599
159,599
160,599
161,599
162,599
163,599
164,599
165,599
166,599
167,599
168,599
169,599
170,599
171,599
172,599
173,599
174,599
175,599
176,599
177,599
178,599
179,599
180,599
181,599
182,599
183,599
184,599
185,599
186,599
187,599
188,599
189,599
190,599
191,599
192,599
193,599
194,599
195,599
196,599
197,599
198,599
199,599
200,599
201,599
202,599
203,599
204,599
205,599
206,599
207,599
208,599
209,599
210,599
211,599
212,599
213,599
214,599
215,599
216,599
217,599
218,599
219,599
220,599
221,599
222,599
223,599
224,599
225,599
226,599
227,599
228,599
229,599
230,599
231,599
232,599
233,599
234,599
235,599
236,599
237,599
238,599
239,599
240,599
241,599
242,599
243,599
244,599
245,599
246,599
247,599
248,599
249,599
250,599
251,599
252,599
253,599
254,599
255,599
256,599
257,599
258,599
259,599
260,599
261,599
262,599
263,599
264,599
265,599
266,599
267,599
268,599
269,599
270,599
271,599
272,599
273,599
274,599
275,599
276,599
277,599
278,599
279,599
280,599
281,599
282,599
283,599
284,599
285,599
286,599
287,599
288,599
289,599
290,599
291,599
292,599
293,599
294,599
295,599
296,599
297,599
298,599
299,599
300,599
301,599
302,599
303,599
304,599
305,599
306,599
307,599
308,599
309,599
310,599
311,599
312,599
313,599
314,599
315,599
316,599
317,599
318,599
319,599
320,599
321,599
322,599
323,599
324,599
325,599
326,599
327,599
328,599
329,599
330,599
331,599
332,599
333,599
334,599
335,599
336,599
337,599
338,599
339,599
340,599
341,599
342,599
343,599
344,599
345,599
346,599
347,599
348,599
349,599
350,599
351,599
352,599
353,599
354,599
355,599
356,599
357,599
358,599
359,599
360,599
361,599
362,599
363,599
364,599
365,599
366,599
367,599
368,599
369,599
370,599
371,599
372,599
373,599
374,599
375,599
376,599
377,599
378,599
379,599
380,599
381,599
382,599
383,599
384,599
385,599
386,599
387,599
388,599
389,599
390,599
391,599
392,599
393,599
394,599
395,599
396,599
397,599
398,599
399,599
400,599
401,599
402,599
403,599
404,599
405,599
406,599
407,599
408,599
409,599
410,599
411,599
412,599
413,599
414,599
415,599
416,599
417,599
418,599
419,599
420,599
421,599
422,599
423,599
424,599
425,599
426,599
427,599
428,599
429,599
430,599
431,599
432,599
433,599
434,599
435,599
436,599
437,599
438,599
439,599
440,599
441,599
442,599
443,599
444,599
445,599
446,599
447,599
448,599
449,599
450,599
451,599
452,599
453,599
454,599
455,599
456,599
457,599
458,599
459,599
460,599
461,599
462,599
463,599
464,599
465,599
466,599
467,599
468,599
469,599
470,599
471,599
472,599
473,599
474,599
475,599
476,599
477,599
478,599
479,599
480,599
481,599
482,599
483,599
484,599
485,599
486,599
487,599
488,599
489,599
490,599
491,599
492,599
493,599
494,599
495,599
496,599
497,599
498,599
499,599
500,599
501,599
502,599
503,599
504,599
505,599
506,599
507,599
508,599
509,599
510,599
511,599
512,599
513,599
514,599
515,599
516,599
517,599
518,599
519,599
520,599
521,599
522,599
523,599
524,599
525,599
526,599
527,599
528,599
529,599
530,599
531,599
532,599
533,599
534,599
535,599
536,599
537,599
538,599
539,599
540,599
541,599
542,599
543,599
544,599
545,599
546,599
547,599
548,599
549,599
550,599
551,599
552,599
553,599
554,599
555,599
556,599
557,599
558,599
559,599
560,599
561,599
562,599
563,599
564,599
565,599
566,599
567,599
568,599
569,599
570,599
571,599
572,599
573,599
574,599
575,599
576,599
577,599
578,599
579,599
580,599
581,599
582,599
583,599
584,599
585,599
586,599
587,599
588,599
589,599
590,599
591,599
592,599
593,599
594,599
595,599
596,599
597,599
598,599
599,599
