, , ,Number of Edges
 , ,500,600,700,800,900,1000,
,100,382,337,368,392,369,330,
,200,1469,1364,1460,1439,2013,2184,
,300,3958,4495,3949,3918,3460,3253,
,400,6454,6175,5919,6077,6627,6167,
,500,11982,9929,11060,9469,9603,11075,
,600,12671,12540,12765,12672,12691,12582,
,700,17812,17551,22110,17469,18456,18645,
,800,22894,22568,22653,23040,22131,23427,
,900,31998,29936,32060,28740,28381,29675,
,1000,48752,37955,34274,34780,34943,34885,
,1100,45102,41569,44615,41646,41575,40648,
,1200,50431,49839,52599,53974,52945,49746,
,1300,58785,58733,57411,58928,65514,59830,
,1400,72654,67029,66207,67217,67067,67410,
,1500,76584,80015,76839,76790,75473,76557,
,1600,96687,90185,87007,86809,86700,86632,
,1700,98068,98604,96977,99252,98208,106378,
,1800,111878,108672,111291,109439,110781,108741,
,1900,146572,122166,133382,122798,123623,121749,
,2000,149466,137026,134518,139597,156049,135505,
,2100,154165,152896,153064,149517,158676,159196,
,2200,169434,169227,163303,162793,165226,164040,
,2300,186640,179251,191079,179204,196086,215525,
,2400,245652,247566,241695,200464,193201,217380,
Verts,2500,218930,217592,211047,214012,229117,242509,
,2600,245136,231504,228572,229322,232846,229109,
,2700,285870,247212,250514,248087,244615,246394,
,2800,273363,270698,268855,266709,285318,278418,
,2900,303991,302885,289109,289246,297414,282616,
,3000,312874,300768,309614,339673,307885,308393,
,3100,346195,323898,324800,324181,324255,329797,
,3200,353170,346319,345918,351980,344559,372811,
,3300,458342,404567,378766,382787,370497,387396,
,3400,399038,393308,398340,393539,394823,391450,
,3500,424209,412094,422035,424204,443669,417893,
,3600,448127,441126,442202,448308,435059,446478,
,3700,472166,485841,466198,477342,462819,457412,
,3800,514472,488759,492683,491229,571938,551315,
,3900,536694,513744,541475,560235,580044,572754,
,4000,603097,572046,547757,555574,599945,593819,
,4100,599624,585925,673554,587863,609190,603641,
,4200,630065,628885,609013,699570,635369,685933,
,4300,802739,680421,639022,649903,654130,636780,
,4400,689252,726464,667085,662701,688360,669010,
,4500,701545,702061,689746,700688,690906,700176,
,4600,760363,740379,746804,899963,744731,739877,
,4700,817351,774072,765302,754678,768496,787512,
,4800,831197,802367,786635,794544,826523,800333,
,4900,831360,816450,806478,860133,908058,841728,
,5000,863693,853340,870176,871402,851034,909770,






Edges Per Vert
Algorithm:,complete
Verts:,2600
Edges:,N/A
0,2599
1,2599
2,2599
3,2599
4,2599
5,2599
6,2599
7,2599
8,2599
9,2599
10,2599
11,2599
12,2599
13,2599
14,2599
15,2599
16,2599
17,2599
18,2599
19,2599
20,2599
21,2599
22,2599
23,2599
24,2599
25,2599
26,2599
27,2599
28,2599
29,2599
30,2599
31,2599
32,2599
33,2599
34,2599
35,2599
36,2599
37,2599
38,2599
39,2599
40,2599
41,2599
42,2599
43,2599
44,2599
45,2599
46,2599
47,2599
48,2599
49,2599
50,2599
51,2599
52,2599
53,2599
54,2599
55,2599
56,2599
57,2599
58,2599
59,2599
60,2599
61,2599
62,2599
63,2599
64,2599
65,2599
66,2599
67,2599
68,2599
69,2599
70,2599
71,2599
72,2599
73,2599
74,2599
75,2599
76,2599
77,2599
78,2599
79,2599
80,2599
81,2599
82,2599
83,2599
84,2599
85,2599
86,2599
87,2599
88,2599
89,2599
90,2599
91,2599
92,2599
93,2599
94,2599
95,2599
96,2599
97,2599
98,2599
99,2599
100,2599
101,2599
102,2599
103,2599
104,2599
105,2599
106,2599
107,2599
108,2599
109,2599
110,2599
111,2599
112,2599
113,2599
114,2599
115,2599
116,2599
117,2599
118,2599
119,2599
120,2599
121,2599
122,2599
123,2599
124,2599
125,2599
126,2599
127,2599
128,2599
129,2599
130,2599
131,2599
132,2599
133,2599
134,2599
135,2599
136,2599
137,2599
138,2599
139,2599
140,2599
141,2599
142,2599
143,2599
144,2599
145,2599
146,2599
147,2599
148,2599
149,2599
150,2599
151,2599
152,2599
153,2599
154,2599
155,2599
156,2599
157,2599
158,2599
159,2599
160,2599
161,2599
162,2599
163,2599
164,2599
165,2599
166,2599
167,2599
168,2599
169,2599
170,2599
171,2599
172,2599
173,2599
174,2599
175,2599
176,2599
177,2599
178,2599
179,2599
180,2599
181,2599
182,2599
183,2599
184,2599
185,2599
186,2599
187,2599
188,2599
189,2599
190,2599
191,2599
192,2599
193,2599
194,2599
195,2599
196,2599
197,2599
198,2599
199,2599
200,2599
201,2599
202,2599
203,2599
204,2599
205,2599
206,2599
207,2599
208,2599
209,2599
210,2599
211,2599
212,2599
213,2599
214,2599
215,2599
216,2599
217,2599
218,2599
219,2599
220,2599
221,2599
222,2599
223,2599
224,2599
225,2599
226,2599
227,2599
228,2599
229,2599
230,2599
231,2599
232,2599
