, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,690,809,707,495,706,544,534,579,458,500,381,591,543,1340,1075,662,569,727,758,712,591,674,819,1044,2069,1333,919,1697,1163,701,810,720,852,786,731,823,959,1059,722,842,910,
,200,1015,1230,1402,1052,1259,1235,1926,1354,1466,1681,1329,1411,1603,2003,2386,937,1695,1516,1631,1552,1528,1195,1585,1852,1549,1539,1616,1859,1595,2251,1528,1556,1488,3247,1775,1823,1901,2080,1672,1800,2124,
,300,4303,4130,2639,2415,2288,226311,3837,11892,3297,6477,9107,6900,16442,6626,10998,8162,9170,5955,16262,3053,8825,10899,40085,325327,14049,16216,9417,17857,3827,14581,395794,9787,7704,4990,9871,4107,6931,21679,30756,14691,4899,
,400,288526,24994,15249,343176,5568,15833,15630,5391,25372,16032,6153,26876,4304,30611,14022,6876,17175,12885,26786,3121,14128,4883,11357,22566,22116,5113,24804,4392,6683,16357,16711,5220,13287,20512,5866,14485,12084,22493,8229,13997,13830,
Verts,500,16027,18734,13738,19414,25752,9488,14000,15599,14379,23144,18645,17422,19179,23563,8586,15209,13360,15750,17963,13732,15334,22739,19355,11596,19196,13732,19750,20615,5462,27706,4562,15028,15061,19865,21923,15261,9726,15054,16155,21038,7104,
,600,27080,19434,24109,22598,28420,21206,36448,20970,20491,20338,23646,18529,17538,24556,18013,12850,39944,16125,24061,12289,26266,22087,33206,14339,20221,20336,16033,22079,17492,26812,24928,35433,26518,32467,23193,32621,36648,34468,38360,5915,22697,
,700,37480,15686,17681,28665,24758,35754,71565,40212,27719,23016,17461,18275,30036,18762,22650,28625,22577,21791,31400,21445,16537,27660,18205,20089,31965,20246,21471,27455,28872,15127,77664,72246,300676,29575,36500,19034,48696,10331,20479,30810,29319,
,800,295172,76070,65275,350224,23059,30298,34474,27907,56253,52297,25035,34255,20596,31951,13283,34160,23171,48402,97584,64604,63122,33527,53017,72965,55103,16629,40300,89845,64191,34526,24005,39974,322707,28882,23496,29703,19687,41416,28710,34622,54039,
,900,88423,77429,323421,29970,38954,27950,30561,27776,31846,26120,24973,61268,31799,37174,25856,36130,24061,34281,77890,88438,27796,34089,29075,38870,29400,28690,26004,37778,24650,34311,24028,99357,358685,51459,43558,26150,31382,27821,27434,30221,30752,
,1000,31006,29106,42121,34100,34188,37399,25483,36181,30558,30336,41493,37871,56615,76113,34128,55933,62882,49037,347567,36695,34648,26035,36264,32179,30135,38776,45705,72833,343670,36645,29555,44964,47810,65126,55665,48647,50439,43263,36280,37727,31224,






Edges Per Vert
Algorithm:,uniform
Verts:,600
