, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,122,124,164,182,212,226,262,284,311,354,394,403,457,498,537,591,694,686,724,764,836,751,683,661,648,629,584,561,536,536,497,477,470,452,480,442,406,395,394,385,394,
,200,188,126,147,272,194,218,319,260,269,301,310,341,381,393,404,414,453,493,496,528,540,593,588,616,641,666,695,716,731,767,801,808,851,975,1182,955,954,977,1069,1052,1186,
,300,277,132,151,180,190,221,256,283,378,291,349,342,352,379,402,421,440,469,496,507,525,725,616,613,617,650,661,692,720,726,760,761,793,817,836,883,880,911,932,962,1073,
,400,339,139,186,192,199,230,237,271,278,312,333,340,377,400,412,428,450,470,490,536,530,561,575,603,634,631,664,679,698,728,734,768,867,806,838,861,879,895,926,948,984,
Verts,500,353,148,176,187,217,227,254,265,295,306,327,354,375,394,405,433,456,478,504,526,548,636,579,599,618,639,659,682,704,756,774,803,783,830,841,869,903,919,942,974,1043,
,600,391,198,192,187,227,239,260,288,297,338,347,357,386,409,429,449,474,492,525,532,555,586,598,617,638,665,678,701,732,758,760,902,821,821,859,882,896,922,935,1321,1095,
,700,472,271,220,230,248,254,281,291,340,342,364,370,409,425,451,465,688,510,534,565,574,600,609,638,648,669,688,705,752,759,797,805,814,850,890,913,962,1342,1086,1011,1008,
,800,438,184,244,211,259,263,292,313,331,352,373,392,401,429,456,481,573,549,565,580,613,613,618,641,660,1115,767,754,760,781,798,809,840,859,889,891,921,1015,998,996,1015,
,900,507,210,234,244,269,280,309,328,338,369,389,411,426,451,470,492,511,550,552,581,598,629,641,662,687,699,772,771,889,925,1069,922,911,913,941,964,975,996,1018,1042,1088,
,1000,525,296,258,253,311,310,362,380,381,398,430,431,464,651,505,521,541,560,582,635,651,654,678,689,719,732,763,831,821,839,854,869,911,1078,1257,1047,1016,1027,1023,1040,1060,






Edges Per Vert
Algorithm:,linear
Verts:,600
Edges:,134775
0,599
1,597
2,599
3,599
4,596
5,596
6,597
7,597
8,592
9,592
10,598
11,593
12,588
13,593
14,593
15,590
16,589
17,589
18,585
19,589
20,591
21,583
22,585
23,587
24,581
25,586
26,586
27,584
28,585
29,577
30,582
31,576
32,585
33,575
34,576
35,587
36,575
37,572
38,578
39,578
40,582
41,574
42,581
43,573
44,557
45,563
46,571
47,569
48,568
49,569
50,564
51,558
52,563
53,568
54,558
55,554
56,557
57,569
58,559
59,566
60,569
61,559
62,548
63,558
64,565
65,555
66,549
67,554
68,558
69,564
70,553
71,556
72,554
73,559
74,547
75,555
76,553
77,563
78,555
79,555
80,570
81,551
82,546
83,551
84,546
85,559
86,548
87,547
88,538
89,528
90,548
91,543
92,553
93,545
94,530
95,539
96,558
97,548
98,546
99,541
100,529
101,540
102,527
103,535
104,530
105,530
106,529
107,536
108,540
109,527
110,519
111,531
112,520
113,532
114,529
115,534
116,520
117,540
118,544
119,535
120,530
121,517
122,538
123,526
124,531
125,518
126,528
127,526
128,519
129,522
130,527
131,515
132,519
133,517
134,511
135,510
136,530
137,514
138,518
139,532
140,517
141,517
142,530
143,516
144,512
145,525
146,508
147,506
148,514
149,518
150,513
151,507
152,509
153,514
154,523
155,494
156,503
157,497
158,513
159,502
160,497
161,508
162,502
163,495
164,502
165,499
166,495
167,497
168,505
169,508
170,503
171,502
172,506
173,499
174,482
175,483
176,509
177,486
178,495
179,500
180,482
181,492
182,480
183,492
184,477
185,487
186,499
187,498
188,499
189,490
190,496
191,480
192,497
193,477
194,496
195,490
196,508
197,482
198,480
199,488
200,487
201,462
202,493
203,487
204,478
205,494
206,483
207,472
208,497
209,488
210,474
211,472
212,487
213,471
214,481
215,480
216,476
217,476
218,492
219,479
220,468
221,476
222,465
223,468
224,466
225,482
226,461
227,471
228,471
229,477
230,467
231,465
232,466
233,473
234,477
235,474
236,489
237,462
238,463
239,458
240,478
241,473
242,464
243,467
244,467
245,445
246,448
247,470
248,467
249,472
250,479
251,444
252,448
253,459
254,471
255,444
256,460
257,463
258,461
259,446
260,469
261,464
262,446
263,467
264,454
265,453
266,458
267,439
268,464
269,462
270,448
271,458
272,455
273,455
274,462
275,443
276,438
277,438
278,468
279,462
280,428
281,428
282,445
283,456
284,441
285,468
286,469
287,432
288,453
289,451
290,427
291,427
292,445
293,449
294,427
295,451
296,432
297,467
298,431
299,448
300,447
301,427
302,449
303,448
304,451
305,423
306,442
307,453
308,438
309,439
310,440
311,452
312,434
313,428
314,430
315,419
316,447
317,448
318,448
319,416
320,405
321,439
322,436
323,437
324,421
325,435
326,403
327,423
328,404
329,427
330,427
331,425
332,440
333,438
334,429
335,432
336,431
337,424
338,436
339,403
340,436
341,438
342,430
343,425
344,413
345,419
346,410
347,424
348,430
349,417
350,427
351,421
352,419
353,415
354,418
355,423
356,418
357,401
358,423
359,421
360,423
361,442
362,411
363,403
364,422
365,400
366,408
367,400
368,412
369,416
370,413
371,407
372,412
373,417
374,403
375,412
376,395
377,411
378,407
379,397
380,407
381,395
382,415
383,408
384,409
385,407
386,409
387,396
388,415
389,398
390,405
391,421
392,408
393,398
394,410
395,394
396,433
397,400
398,407
399,409
