, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,815,341,575,620,540,305,385,744,710,765,580,355,674,400,346,373,410,398,445,433,357,436,493,578,609,470,728,512,698,647,579,618,617,874,643,723,1043,685,615,1138,665,
,200,950,734,760,909,1519,860,1252,918,504,712,1407,680,1107,857,699,1121,1812,917,769,613,912,822,720,871,637,677,784,1046,973,954,944,688,952,773,864,762,993,1282,1063,1188,1425,
,300,586,689,884,760,729,1181,665,1176,1126,693,731,974,764,804,982,1474,838,955,849,825,1216,1029,1139,1032,1253,880,994,960,818,796,1014,801,1074,913,958,959,1017,840,1047,944,991,
,400,949,789,1009,1086,1098,1034,1124,1113,1203,994,1159,1381,1137,1422,1121,1129,1115,3931,3900,1990,2252,2133,2435,161537,4431,3465,12577,3006,15731,2131,21906,325849,1243,1083,6873,14197,25115,2017,1128,25681,310181,
Verts,500,1099,16657,2052,5598,7751,2925,2835,2816,10211,1727,9925,17226,1133,2450,11117,1115,6589,1536,14440,4000,6998,8977,1886,6197,7357,6705,4738,2733,1618,17279,1570,1356,14007,2326,4556,1280,7719,6168,1448,6511,7992,
,600,9562,14254,28075,2129,10072,6708,30441,5235,16166,3919,3085,13386,22442,4421,5299,18943,2827,8442,14996,15598,5033,9090,19579,3652,20007,2157,18524,2566,4642,8348,13578,2917,15167,13998,2744,3887,8055,14427,2319,4298,7282,
,700,19917,6475,14284,1470,6128,30776,2073,13399,23991,3413,13399,21112,4942,10458,15353,3224,18097,1309,6962,27022,3522,6000,20383,3008,12185,11591,15029,2936,10582,7257,7877,12937,18442,13961,2323,11395,6214,15275,1145,17746,7312,
,800,7486,22387,6475,7784,19443,7153,13729,9070,13863,10127,12892,11237,14659,23886,6732,14127,12478,13540,6961,14485,8089,23612,2207,18748,8449,17503,15245,21639,6436,6702,15135,6951,20116,6369,17527,12737,27332,3627,12163,14912,6645,
,900,14113,14664,9499,18506,17025,11798,7410,15388,18075,9839,12926,13938,14214,7278,16254,19377,14033,9779,13191,14981,18279,8187,13249,14263,14641,7902,19217,11935,7534,14197,25368,6342,7035,14097,14950,17761,6654,13620,13656,13409,8796,
,1000,20030,19296,15588,22292,18815,24823,7176,14135,15789,17535,14675,8621,9871,24384,12042,15397,12816,14041,20699,13649,14327,16110,24847,6522,13922,13808,8627,16019,19842,39223,9212,18857,15384,22143,7037,17651,18920,15424,13222,15135,18403,






Edges Per Vert
Algorithm:,uniform
Verts:,600
