, , , , , , , , , , , , , , , , , , , , ,Number of Edges
 , ,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,
,100,97,77,101,119,137,139,154,178,184,216,214,244,261,275,277,305,325,328,362,376,449,391,373,382,419,387,380,360,353,358,358,367,343,349,351,338,348,345,345,335,445,
,200,165,87,99,113,136,139,152,176,179,192,213,219,242,246,270,283,301,348,348,331,356,370,390,400,406,430,442,458,469,488,500,527,529,569,559,580,593,638,654,646,730,
,300,236,94,116,120,132,171,161,174,196,201,283,256,292,256,268,295,300,323,342,341,368,382,399,414,424,436,466,452,494,501,507,521,790,573,579,597,640,648,705,1214,1205,
,400,466,156,191,199,232,252,281,334,312,356,398,400,430,477,296,391,348,464,374,380,420,433,426,477,453,457,523,497,522,524,533,981,948,728,701,643,643,641,759,687,1184,
Verts,500,646,226,206,260,270,311,318,386,407,448,477,536,456,563,541,638,715,448,393,483,418,416,430,437,457,462,476,492,504,522,538,550,631,638,994,613,640,646,652,680,688,
,600,351,139,143,147,162,236,200,213,233,241,246,269,274,296,312,317,356,367,371,374,398,419,427,442,465,467,501,499,513,529,546,615,656,618,673,643,648,666,670,734,721,
,700,381,132,156,168,173,196,211,225,229,253,257,280,286,310,325,329,349,366,381,387,411,426,442,469,467,481,495,512,573,619,596,593,698,769,1474,1218,678,752,853,787,814,
,800,449,187,186,194,298,229,228,232,277,259,283,297,301,437,673,383,393,415,451,791,1251,2110,915,892,905,955,999,961,979,1006,1191,1176,1484,1362,1086,1315,1057,1016,1382,1356,1174,
,900,960,423,315,293,312,380,373,417,473,430,376,378,437,1005,1090,835,738,1544,1354,1913,1500,1587,1055,1123,1203,1324,1268,1342,1100,1080,1229,1237,1237,1378,1365,1343,2286,1879,1696,1781,1945,
,1000,894,319,381,384,479,355,271,341,505,506,406,367,455,504,719,487,575,506,521,513,528,501,532,540,629,585,613,682,731,706,793,757,819,704,716,717,804,732,763,769,816,






Edges Per Vert
Algorithm:,uniform
Verts:,600
Edges:,134775
0,462
1,425
2,450
3,429
4,445
5,446
6,450
7,435
8,442
9,434
10,430
11,443
12,453
13,447
14,450
15,436
16,458
17,448
18,453
19,465
20,454
21,473
22,450
23,450
24,434
25,441
26,470
27,464
28,451
29,435
30,455
31,448
32,443
33,442
34,442
35,435
36,448
37,429
38,432
39,446
40,451
41,438
42,446
43,435
44,440
45,427
46,443
47,443
48,451
49,455
50,446
51,435
52,462
53,460
54,460
55,452
56,441
57,446
58,444
59,441
60,434
61,454
62,457
63,455
64,439
65,448
66,447
67,445
68,442
69,429
70,433
71,465
72,451
73,458
74,437
75,461
76,444
77,440
78,446
79,460
80,463
81,455
82,441
83,456
84,447
85,465
86,456
87,456
88,454
89,448
90,458
91,451
92,478
93,457
94,438
95,455
96,435
97,449
98,439
99,427
100,444
101,451
102,458
103,436
104,451
105,452
106,438
107,453
108,461
109,450
110,463
111,465
112,456
113,444
114,446
115,438
116,435
117,454
118,452
119,459
120,438
121,437
122,449
123,429
124,457
125,446
126,456
127,444
128,440
129,474
130,459
131,467
132,452
133,449
134,424
135,460
136,455
137,439
138,465
139,448
140,467
141,444
142,449
143,460
144,446
145,452
146,448
147,458
148,447
149,455
150,442
151,457
152,456
153,471
154,453
155,454
156,433
157,465
158,455
159,463
160,439
161,459
162,436
163,452
164,455
165,446
166,437
167,433
168,454
169,431
170,452
171,452
172,445
173,435
174,432
175,465
176,453
177,448
178,441
179,457
180,460
181,443
182,450
183,431
184,458
185,453
186,440
187,426
188,467
189,440
190,451
191,462
192,449
193,444
194,453
195,442
196,440
197,474
198,450
199,439
200,440
201,449
202,432
203,436
204,469
205,461
206,461
207,430
208,448
209,457
210,433
211,458
212,463
213,440
214,429
215,437
216,447
217,457
218,440
219,429
220,451
221,457
222,445
223,440
224,447
225,452
226,467
227,468
228,471
229,464
230,447
231,444
232,458
233,465
234,465
235,450
236,447
237,454
238,458
239,455
240,464
241,459
242,445
243,434
244,456
245,454
246,438
247,461
248,429
249,449
250,441
251,445
252,456
253,438
254,440
255,447
256,455
257,443
258,458
259,460
260,444
261,455
262,449
263,438
264,445
265,447
266,451
267,454
268,451
269,463
270,448
271,451
272,470
273,429
274,447
275,459
276,463
277,444
278,447
279,446
280,442
281,441
282,451
283,459
284,447
285,444
286,457
287,458
288,459
289,425
290,463
291,473
292,464
293,459
294,471
295,440
296,439
297,450
298,440
299,441
300,457
301,451
302,447
303,432
304,469
305,441
306,452
307,469
308,429
309,448
310,449
311,455
312,460
313,471
314,443
315,450
316,444
317,479
318,459
319,459
320,459
321,458
322,456
323,456
324,459
325,440
326,444
327,447
328,464
329,434
330,451
331,454
332,444
333,457
334,463
335,467
336,437
337,426
338,447
339,449
340,460
341,452
342,470
343,442
344,449
345,466
346,440
347,461
348,448
349,444
350,432
351,445
352,432
353,423
354,455
355,442
356,468
357,455
358,458
359,463
360,446
361,442
362,456
363,456
364,439
365,445
366,451
367,451
368,437
369,443
370,453
371,449
372,454
373,441
374,428
375,455
376,462
377,455
378,447
379,446
380,445
381,460
382,437
383,438
384,451
385,455
386,464
387,456
388,446
389,446
390,459
391,438
392,462
393,448
394,428
